	coll	measure	mfw	Cluster Errors	Adjusted Rand Index	Homogeneity	Completeness	V Measure	Purity	Entropy
ELTeC-slv_burrows-d_0800	ELTeC-slv	burrows-d	0800	1.0	0.8724186704384724	0.9624786378518296	0.9824152892777261	0.9723447805962022	0.9285714285714286	0.037521362148170506
ELTeC-slv_eders-d_0800	ELTeC-slv	eders-d	0800	2.0	0.8163493840985442	0.9421851309780165	0.9647201826058678	0.9533195016351936	0.9047619047619048	0.057814869021983614
ELTeC-slv_cosine-d_0900	ELTeC-slv	cosine-d	0900	1.0	0.938122547539994	0.979706493126187	0.9827191677145067	0.9812105179230236	0.9761904761904762	0.02029350687381311
ELTeC-slv_burrows-d_0900	ELTeC-slv	burrows-d	0900	1.0	0.8724186704384724	0.9624786378518296	0.9824152892777264	0.9723447805962023	0.9285714285714286	0.037521362148170506
ELTeC-slv_eders-d_0900	ELTeC-slv	eders-d	0900	1.0	0.8724186704384724	0.9624786378518296	0.9824152892777261	0.9723447805962022	0.9285714285714286	0.037521362148170506
ELTeC-slv_cosine-d_1000	ELTeC-slv	cosine-d	1000	1.0	0.938122547539994	0.9797064931261869	0.9827191677145065	0.9812105179230235	0.9761904761904762	0.02029350687381311
ELTeC-slv_burrows-d_1000	ELTeC-slv	burrows-d	1000	0.0	1.0	1.0	1.0	1.0	1.0	0.0
ELTeC-slv_eders-d_1000	ELTeC-slv	eders-d	1000	1.0	0.8724186704384724	0.9624786378518296	0.9824152892777264	0.9723447805962023	0.9285714285714286	0.037521362148170506
ELTeC-slv_cosine-d_1200	ELTeC-slv	cosine-d	1200	0.0	1.0	1.0	1.0	1.0	1.0	0.0
ELTeC-slv_burrows-d_1200	ELTeC-slv	burrows-d	1200	0.0	1.0	1.0	1.0	1.0	1.0	0.0
ELTeC-slv_eders-d_1200	ELTeC-slv	eders-d	1200	1.0	0.8724186704384724	0.9624786378518296	0.9824152892777261	0.9723447805962022	0.9285714285714286	0.037521362148170506
ELTeC-slv_cosine-d_1400	ELTeC-slv	cosine-d	1400	0.0	1.0	1.0	1.0	1.0	1.0	0.0
ELTeC-slv_burrows-d_1400	ELTeC-slv	burrows-d	1400	2.0	0.845998266396995	0.9493470023907579	0.9649770120619351	0.9570981995322266	0.9285714285714286	0.05065299760924233
ELTeC-slv_eders-d_1400	ELTeC-slv	eders-d	1400	1.0	0.8724186704384724	0.9624786378518296	0.9824152892777261	0.9723447805962022	0.9285714285714286	0.037521362148170506
ELTeC-slv_cosine-d_1600	ELTeC-slv	cosine-d	1600	1.0	0.938122547539994	0.9797064931261869	0.9827191677145065	0.9812105179230235	0.9761904761904762	0.02029350687381311
ELTeC-slv_burrows-d_1600	ELTeC-slv	burrows-d	1600	2.0	0.845998266396995	0.9493470023907579	0.9649770120619351	0.9570981995322266	0.9285714285714286	0.05065299760924233
ELTeC-slv_eders-d_1600	ELTeC-slv	eders-d	1600	1.0	0.8724186704384724	0.9624786378518296	0.9824152892777261	0.9723447805962022	0.9285714285714286	0.037521362148170506
ELTeC-slv_cosine-d_1800	ELTeC-slv	cosine-d	1800	2.0	0.8668438145851787	0.9571333885485142	0.9652520276996952	0.9611755647611998	0.9523809523809523	0.042866611451486056
ELTeC-slv_burrows-d_1800	ELTeC-slv	burrows-d	1800	2.0	0.845998266396995	0.9493470023907579	0.9649770120619351	0.9570981995322266	0.9285714285714286	0.05065299760924233
ELTeC-slv_eders-d_1800	ELTeC-slv	eders-d	1800	1.0	0.8724186704384724	0.9624786378518296	0.9824152892777261	0.9723447805962022	0.9285714285714286	0.037521362148170506
ELTeC-slv_cosine-d_2000	ELTeC-slv	cosine-d	2000	2.0	0.8668438145851787	0.9571333885485142	0.9652520276996952	0.9611755647611998	0.9523809523809523	0.042866611451486056
ELTeC-slv_burrows-d_2000	ELTeC-slv	burrows-d	2000	2.0	0.8668438145851787	0.9571333885485142	0.9652520276996951	0.9611755647611998	0.9285714285714286	0.042866611451486056
